SE_name_2014Q3_2024Q3,recommended_SE_name,recommended_umls_cui_from_meddra,cosine_similarity
Aortic valve replacement,heart valve replacement,C0190173,0.7892864556261106
Aortic valve sclerosis,Aortic valve sclerosis,C1455780,1.0000000000000004
Aortic valve stenosis,Aortic valve stenosis,C0003507,0.9999999999999998
Aorto-duodenal fistula,Arteriovenous fistula thrombosis,C0340909,0.5977214042752949
Apallic syndrome,apallic syndrome,C0854369,0.999999999999288
Apathy,Apathy,C0085632,1.0000000000000004
Aphagia,Aphagia,C0221470,1.0000000000000007
Aphakia,Aphonia,C0003564,0.6980705079448507
Aphasia,Aphasia,C0003537,1.0000000000000004
Aphonia,Aphonia,C0003564,1.0
Aphthous stomatitis,Aphthous stomatitis,C0038363,1.0000000000000004
Aphthous ulcer,Aphthous stomatitis,C0038363,0.8629266093723187
Aplasia,Aplasia,C0243065,1.0000000000000009
Aplasia pure red cell,Aplasia pure red cell,C0034902,0.9999999999999994
Aplastic anaemia,Aplastic anaemia,C0002874,1.0000000000000002
Apnoea,Apnoea,C0003578,1.0000000000000016
Apnoeic attack,apnoeic attack,C0474454,1.0000000000000016
Apparent death,Death,C1306577,0.8682546034381058
Apparent mineralocorticoid excess,Mineralocorticoid deficiency,C1955743,0.8557983755479002
Appendicectomy,appendicectomy,C0003611,0.9999999999999977
Appendicitis,Appendicitis,C0003615,0.9999999999999997
Appendicitis perforated,Appendicitis,C0003615,0.7659428633703111
Appendicolith,appendiceal abscess,C0238002,0.7247753091877455
Appendix disorder,appendix disorder,C0267613,1.0000000000000004
Appetite disorder,Appetite disorder,C0003621,1.0000000000000007
Application site burn,Application site burn,C0877661,1.0000000000000018
Application site discharge,Application site discharge,C0948299,1.0
Application site discolouration,Application site discolouration,C1142160,1.000000000000001
Application site erythema,Application site erythema,C0853700,0.9999999999999994
Application site exfoliation,Application site exfoliation,C1610049,1.0
Application site haemorrhage,Application site haemorrhage,C0877094,1.0000000000000002
Application site hypersensitivity,Application site hypersensitivity,C1504422,1.0000000000000009
Application site infection,Application site infection,C0521496,0.9999999999999993
Application site inflammation,Application site inflammation,C0877126,1.0
Application site irritation,Application site irritation,C0521490,1.0
Application site pain,Application site pain,C0521491,0.9999999999999988
Application site perspiration,Application site dryness,C0877098,0.8359223559592383
Application site pruritus,Application site pruritus,C0853714,1.0000000000000013
Application site rash,Application site rash,C0521495,1.0000000000000002
Application site reaction,Application site reaction,C0151505,0.9999999999999999
Application site urticaria,Application site urticaria,C0919603,0.9999999999999998
Application site vesicles,Application site vesicles,C0877097,1.0000000000000002
Application site warmth,Application site warmth,C0858794,1.0000000000000002
Apraxia,Apraxia,C0003635,1.0000000000000002
Aptyalism,Hypervigilance,C0235013,0.6303121931011568
Aqueous fibrin,Blood fibrinogen increased,C0852921,0.55314458021599
Arachnoid cyst,Arachnoiditis,C0003708,0.7159579472318947
Arachnoiditis,Arachnoiditis,C0003708,0.9999999999999997
Arcus lipoides,Arcus lipoides,C1142068,1.0000000000000002
Areflexia,Areflexia,C0234146,0.9999999999999988
Arnold-Chiari malformation,Budd-Chiari syndrome,C0856761,0.6971075213524343
Arrhythmia,Arrhythmia,C0003811,1.0000000000000016
Arrhythmia neonatal,Neonatal tachypnoea,C1112613,0.7260146056429715
Arrhythmia supraventricular,Arrhythmia supraventricular,C0428974,1.0
Arrhythmogenic right ventricular dysplasia,right ventricular dysfunction,C0242707,0.6062322506305275
Arterial catheterisation,catheter placement,C0883301,0.5996135205994927
Arterial disorder,arterial disorder,C0852949,0.9999999999999994
Arterial haemorrhage,arterial haemorrhage,C0340654,1.0000000000000002
Arterial injury,arterial disorder,C0852949,0.6153142164608053
Arterial insufficiency,Arterial insufficiency,C0003834,1.0000000000000009
Arterial intramural haematoma,Perirenal haematoma,C0473124,0.6312020170309823
Arterial occlusive disease,Arterial occlusive disease,C0003838,1.0000000000000004
Arterial rupture,arterial rupture,C0155760,0.9999999999999993
Arterial spasm,Arterial spasm,C0085617,0.9999999999999993
Arterial stenosis,Vascular stenosis,C0679403,0.8954907501335164
Arterial thrombosis,Arterial thrombosis,C0151942,0.9999999999999996
Arteriogram coronary abnormal,Mammogram abnormal,C0262365,0.6172942045465337
Arteriosclerosis,Arteriosclerosis,C0003850,1.0000000000000002
Arteriosclerosis coronary artery,Arteriosclerosis coronary artery,C0010054,0.9999999999999989
Arteriosclerotic gangrene,dry gangrene,C0333536,0.8195612833490408
Arteriosclerotic retinopathy,Arteriosclerotic retinopathy,C0339478,1.0000000000000002
Arteriospasm coronary,Arteriospasm coronary,C0010073,0.9999999999999998
Arteriovenous fistula maturation failure,Arteriovenous fistula thrombosis,C0340909,0.7494559922703109
Arteriovenous fistula site haematoma,arteriovenous fistula site haemorrhage,C1096389,0.9123439663215047
Arteriovenous fistula site infection,arteriovenous fistula site infection,C1096671,1.0000000000000004
Arteriovenous fistula thrombosis,Arteriovenous fistula thrombosis,C0340909,1.0000000000000002
Arteriovenous malformation,arteriovenous malformation,C0003857,0.9999999999999999
Arteritis,Arteritis,C0003860,0.9999999999999996
Artery dissection,artery dissection,C0002949,1.0
Arthralgia,Arthralgia,C0003862,0.9999999999999993
Arthritis,Arthritis,C0003864,1.0000000000000004
Arthritis bacterial,Arthritis bacterial,C1692886,0.9999999999999999
Arthritis infective,Arthritis infective,C0003869,1.0000000000000004
Arthritis reactive,arthritis reactive,C0085435,1.0000000000000027
Arthropathy,Arthropathy,C0022408,0.9999999999999999
Arthropod bite,Arthropod bite,C0853348,1.0000000000000004
Arthropod sting,Arthropod sting,C0852932,1.0000000000000002
Artificial crown procedure,cast application,C0687121,0.5576075303247312
Asbestosis,silicosis,C0037116,0.679957260286131
Ascites,Ascites,C0003962,1.0
Asocial behaviour,Asocial behaviour,C0233528,1.0000000000000016
Aspartate aminotransferase increased,Aspartate aminotransferase increased,C0151904,1.0000000000000007
Aspergilloma,Aspergillosis,C0004030,0.8774096495484198
Aspergillus infection,Aspergillus infection,C0851807,1.0000000000000004
Aspergillus test,Aspergillus infection,C0851807,0.7284912220832079
Aspergillus test positive,Fungal test positive,C1167761,0.7801809534772598
Asphyxia,Asphyxia,C0004044,1.0000000000000002
Aspiration,Aspiration,C0700198,1.0000000000000009
Aspiration bone marrow abnormal,biopsy bone marrow abnormal,C0740305,0.870345823445762
Aspiration bronchial,Aspiration,C0700198,0.7453623522140492
Aspiration pleural cavity,aspiration pleural cavity,C0189477,1.0000000000000007
Asteatosis,Asteatosis,C0549201,1.0000000000000004
Asterixis,Asterixis,C0232766,1.0000000000000007
Asthenia,Asthenia,C0004093,1.0000000000000004
Asthenopia,Asthenopia,C0004095,1.0000000000000004
Asthma,Asthma,C0004096,0.9999999999999997
Asthma exercise induced,asthma exercise induced,C0004099,1.0000000000000009
Asthmatic crisis,Asthmatic attack,C0347950,0.8640718107248515
Astigmatism,Keratoconus,C0022578,0.6910149499534937
Astringent therapy,Antitussive therapy,C1096670,0.5852488521794265
Astrocytoma,Astrocytoma,C0004114,0.999999999999999
Astrovirus test positive,viral test positive,C1167762,0.6304097461100816
Asymptomatic COVID-19,Gastroenteritis adenovirus,C0343361,0.5549460087954557
Asymptomatic bacteriuria,asymptomatic bacteriuria,C0262380,1.0000000000000013
Ataxia,Ataxia,C0004134,0.9999999999999996
Atelectasis,Atelectasis,C0004144,1.0000000000000004
Atheroembolism,Atherothrombosis,C1963943,0.8370095384928816
Atherosclerotic plaque rupture,Atherothrombosis,C1963943,0.6996775608941354
Atonic seizures,Seizure cerebral,C1540600,0.7450275727311443
Atonic urinary bladder,Atonic urinary bladder,C0403645,0.9999999999999997
Atrial conduction time prolongation,Dilatation atrial,C0264734,0.6871730584632331
Atrial enlargement,Atrial hypertrophy,C0340278,0.9471560738946437
Atrial fibrillation,Atrial fibrillation,C0004238,1.0000000000000007
Atrial flutter,Atrial flutter,C0004239,0.9999999999999998
Atrial septal defect,Atrial septal defect,C0018817,1.0000000000000007
Atrial tachycardia,Atrial tachycardia,C0546959,0.9999999999999989
Atrial thrombosis,atrial thrombosis,C0340517,1.0000000000000004
Atrioventricular block,Atrioventricular block,C0004245,1.0000000000000013
Atrioventricular block complete,Atrioventricular block complete,C0151517,0.9999999999999983
Atrioventricular block first degree,Atrioventricular block first degree,C0085614,1.0000000000000002
Atrioventricular block second degree,Atrioventricular block second degree,C0264906,1.0000000000000002
Atrioventricular dissociation,Atrioventricular dissociation,C0004331,0.9999999999999991
Atrioventricular septal defect,Atrial septal defect,C0018817,0.8998190891348428
Atrophic vulvovaginitis,Atrophic vulvovaginitis,C0149836,1.0000000000000007
Atrophy,Atrophy,C0333641,1.0000000000000009
Attention deficit hyperactivity disorder,Attention deficit/hyperactivity disorder,C1263846,0.9909584178087665
Attention deficit/hyperactivity disorder,Attention deficit/hyperactivity disorder,C1263846,0.9999999999999999
Attention-seeking behaviour,attention-seeking behaviour,C0474408,1.0000000000000004
Atypical benign partial epilepsy,Complex partial seizures,C0149958,0.5932286273464995
Atypical femur fracture,Atypical femur fracture,C3160754,1.0000000000000016
Atypical haemolytic uraemic syndrome,Haemolytic uraemic syndrome,C0019061,0.8878133595365698
Atypical migraine,Migraine without aura,C0338480,0.8307852400735853
Atypical mycobacterial infection,Atypical mycobacterial infection,C0026919,1.000000000000002
Atypical mycobacterial lower respiratory tract infection,Atypical mycobacterial infection,C0026919,0.7731337181935186
Atypical mycobacterial pneumonia,Atypical pneumonia,C1412002,0.8639634766446468
Atypical mycobacterium test positive,Atypical mycobacterial infection,C0026919,0.7949173408456294
Atypical pneumonia,Atypical pneumonia,C1412002,1.000000000000001
Auditory disorder,Auditory disorder NOS,C0260662,0.9930705087238167
Aura,Aura,C0236018,1.0000000000000018
Auricular haematoma,Oedema auricular,C0239211,0.770340993251357
Autism spectrum disorder,Autism spectrum disorder,C1510586,0.9999999999999991
Autoantibody positive,antibody test positive,C0741132,0.8513183906864115
Autoimmune arthritis,Rheumatoid arthritis,C0003873,0.7615542270561352
Autoimmune blistering disease,paraneoplastic pemphigus,C1112570,0.6697024333925627
Autoimmune disorder,Autoimmune disorder,C0004364,0.9999999999999997
Autoimmune haemolytic anaemia,Autoimmune haemolytic anaemia,C0002880,1.0
Autoimmune hepatitis,Autoimmune hepatitis,C0241910,1.000000000000001
Autoimmune hypothyroidism,autoimmune thyroiditis,C0920350,0.8701515546836052
Autoimmune myocarditis,Myocarditis,C0027059,0.7183665288621602
Autoimmune myositis,Dermatomyositis,C0011633,0.7444091098625218
Autoimmune pancytopenia,Autoimmune haemolytic anaemia,C0002880,0.804425511024884
Autoimmune thyroiditis,autoimmune thyroiditis,C0920350,1.0
Autoinflammatory disease,Fever of unknown origin,C0015970,0.6934275695559016
Automatism,Automatism,C0004377,0.9999999999999993
Automatism epileptic,Automatism,C0004377,0.782401535500488
Autonomic dysreflexia,Autonomic dysfunction,C0741307,0.8615230253471936
Autonomic failure syndrome,Autonomic dysfunction,C0741307,0.8702690471380587
Autonomic nervous system imbalance,Autonomic nervous system imbalance,C0262385,1.000000000000001
Autonomic neuropathy,Autonomic neuropathy,C0259749,1.0
Autoscopy,endoscopy,C0014245,0.6825307999996951
Axillary mass,axillary mass,C0238729,1.0000000000000009
Axillary pain,axillary pain,C0577659,0.9999999999999996
Axonal neuropathy,Axonal neuropathy,C0270921,1.0
Azotaemia,Azotaemia,C0242528,1.0000000000000013
B precursor type acute leukaemia,B-cell type acute leukaemia,C1292769,0.9358712423095003
B-cell lymphoma,B-cell lymphoma,C0079731,1.0000000000000007
B-lymphocyte count decreased,Lymphocyte count decreased,C0853986,0.7851826068961995
BK polyomavirus test positive,BK virus infection,C1096691,0.6972642583787875
BK virus infection,BK virus infection,C1096691,1.0000000000000009
BRASH syndrome,Buccoglossal syndrome,C0151538,0.5424721380305935
Bacillary angiomatosis,bacillary angiomatosis,C0085434,1.0
Bacillus bacteraemia,bacillus infection,C0854327,0.8202693009523593
Bacillus infection,bacillus infection,C0854327,1.000000000000001
Bacillus test positive,Bacterial test positive,C1167760,0.8086236446572148
Back disorder,Back disorder,C0263888,0.9999999999999991
Back injury,Back injury,C0004601,0.9999999999999992
Back pain,Back pain,C0004604,1.0000000000000002
Bacteraemia,Bacteraemia,C0004610,0.9999999999999996
Bacterial colitis,Colitis,C0009319,0.8512727047488717
Bacterial disease carrier,Bacterial disease carrier,C0853960,0.9999999999999991
Bacterial infection,Bacterial infection,C0004623,0.9999999999999987
Bacterial sepsis,bacterial sepsis,C0684256,1.0000000000000009
Bacterial test,Bacterial test positive,C1167760,0.8735289248787149
Bacterial test positive,Bacterial test positive,C1167760,0.9999999999999996
Bacterial toxaemia,bacterial sepsis,C0684256,0.7288442873256322
Bacterial vaginosis,Vaginitis bacterial,C0085166,0.8645093223718013
Bacterial vulvovaginitis,Vulvovaginitis,C0042998,0.849947187584139
Bacteriuria,Bacteriuria,C0004659,0.9999999999999996
Bacteroides infection,bacillus infection,C0854327,0.6649345624316175
Balance disorder,Balance disorder,C0575090,1.0000000000000002
Balanoposthitis,Balanoposthitis,C0004691,1.0000000000000013
Ballismus,Eye rolling,C0522336,0.678237687858559
Band sensation,Paraesthesia skin,C0235046,0.6798850819110887
Bandaemia,Band neutrophil count increased,C0919777,0.7351630149601424
Barrett^s oesophagus,Barrett's oesophagus,C0004763,0.9741880211243835
Bartonella test positive,epstein-barr virus test positive,C0851107,0.6159519993845346
Bartonellosis,tularaemia,C0041351,0.6800715398125071
Basal cell carcinoma,Basal cell carcinoma,C0007117,0.9999999999999993
Basal ganglia haematoma,basal ganglia haemorrhage,C0472377,0.8951387702164609
Basal ganglia haemorrhage,basal ganglia haemorrhage,C0472377,0.9999999999999991
Basal ganglia infarction,basal ganglia haemorrhage,C0472377,0.7408653316197789
Base excess,Alkalosis,C0002063,0.715310475320422
Base excess decreased,Blood bicarbonate decreased,C0852909,0.709859682551303
Basedow^s disease,Basedow's disease,C0018213,0.9702528665460937
Basilar artery occlusion,Basilar artery syndrome,C0004812,0.7912112240895901
Basilar artery thrombosis,Basilar artery syndrome,C0004812,0.8285646910659021
Basophil count increased,Basophilia,C0702266,0.8811397005736029
Bedridden,Bedridden,C0741453,1.0000000000000002
Behaviour disorder,Behavior disorder,C0004930,0.9892027976930132
Behcet^s syndrome,Basilar artery syndrome,C0004812,0.5962151727336304
Bell^s palsy,Bell's palsy,C0376175,0.9880203842712689
Belligerence,Bell's palsy,C0376175,0.6554439793427281
Benign abdominal neoplasm,Abdominal neoplasm,C0000735,0.7706879626033559
Benign bone neoplasm,Bone neoplasm,C0005967,0.7965127255889451
Benign intracranial hypertension,Benign intracranial hypertension,C0033845,0.9999999999999991
Benign neoplasm,Benign neoplasm,C0086692,1.000000000000001
Benign ovarian tumour,Ovarian neoplasm,C0919267,0.7669085039029504
Benign pancreatic neoplasm,Pancreatic neoplasm,C0030297,0.7311799483014735
Benign prostatic hyperplasia,Benign prostatic hyperplasia,C1704272,0.9999999999999999
Benign soft tissue neoplasm,Soft tissue disorder,C0263978,0.6663780951123235
